Age,Frequency_[Classical]_num,Frequency_[Country]_num,Frequency_[EDM]_num,Frequency_[Folk]_num,Frequency_[Jazz]_num,Frequency_[Metal]_num,Frequency_[Pop]_num,Frequency_[Rap]_num,Frequency_[Rock]_num,Smoking,Alcohol,Life struggles,Anxiety,Depression,Insomnia
20.0,4.0,4.0,4.0,2.0,2.0,2.0,10.0,2.0,10.0,1.0,10.0,2.0,2.0,6.0,4.0
19.0,2.0,2.0,4.0,2.0,2.0,8.0,6.0,2.0,10.0,1.0,10.0,2.0,2.0,4.0,10.0
20.0,8.0,6.0,4.0,4.0,6.0,6.0,6.0,2.0,10.0,4.0,10.0,8.0,2.0,10.0,8.0
22.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,7.0,10.0,6.0,6.0,10.0,2.0
20.0,8.0,4.0,8.0,6.0,4.0,2.0,10.0,10.0,6.0,4.0,5.0,4.0,2.0,6.0,8.0
20.0,6.0,4.0,4.0,6.0,8.0,10.0,4.0,8.0,10.0,1.0,never,6.0,2.0,4.0,6.0
20.0,4.0,2.0,10.0,6.0,2.0,2.0,10.0,6.0,6.0,4.0,5.0,10.0,2.0,6.0,4.0
19.0,4.0,2.0,6.0,4.0,4.0,2.0,8.0,6.0,10.0,10.0,10.0,4.0,4.0,4.0,10.0
18.0,4.0,2.0,6.0,2.0,4.0,10.0,6.0,2.0,10.0,4.0,5.0,8.0,4.0,8.0,10.0
19.0,4.0,4.0,4.0,10.0,8.0,4.0,6.0,4.0,10.0,1.0,10.0,10.0,2.0,4.0,8.0
19.0,4.0,2.0,6.0,4.0,4.0,4.0,8.0,6.0,6.0,10.0,5.0,10.0,4.0,4.0,8.0
17.0,8.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,10.0,4.0,never,8.0,10.0,8.0,10.0
24.0,8.0,2.0,2.0,4.0,2.0,8.0,6.0,6.0,10.0,4.0,5.0,10.0,10.0,10.0,6.0
19.0,2.0,4.0,10.0,6.0,6.0,2.0,10.0,4.0,4.0,1.0,5.0,8.0,2.0,4.0,10.0
22.0,4.0,2.0,4.0,2.0,8.0,4.0,8.0,6.0,10.0,10.0,5.0,10.0,10.0,4.0,2.0
18.0,8.0,6.0,4.0,4.0,4.0,10.0,6.0,4.0,10.0,7.0,5.0,8.0,2.0,8.0,6.0
19.0,2.0,2.0,6.0,2.0,4.0,2.0,8.0,4.0,8.0,10.0,10.0,8.0,2.0,4.0,8.0
20.0,4.0,6.0,6.0,6.0,6.0,4.0,8.0,6.0,8.0,4.0,5.0,10.0,4.0,8.0,4.0
18.0,8.0,6.0,10.0,8.0,8.0,8.0,10.0,8.0,8.0,4.0,5.0,2.0,2.0,8.0,4.0
18.0,8.0,4.0,6.0,6.0,10.0,10.0,4.0,2.0,8.0,7.0,10.0,2.0,2.0,4.0,10.0
20.0,8.0,6.0,6.0,4.0,10.0,10.0,4.0,8.0,10.0,1.0,never,8.0,2.0,4.0,6.0
24.0,4.0,6.0,2.0,2.0,2.0,10.0,4.0,2.0,10.0,4.0,5.0,4.0,2.0,8.0,10.0
